airport,iata,city,state
Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,Georgia
Los Angeles International Airport,LAX,Los Angeles,California
Dallas/Fort Worth International Airport,DFW,Dallas and Fort Worth,Texas
Denver International Airport,DEN,Denver,Colorado
O'Hare International Airport,ORD,Chicago,Illinois
John F. Kennedy International Airport,JFK,New York City,New York
Orlando International Airport,MCO,Orlando,Florida
Harry Reid International Airport,LAS,Las Vegas,Nevada
Charlotte Douglas International Airport,CLT,Charlotte,North Carolina
Miami International Airport,MIA,Miami,Florida
Seattle–Tacoma International Airport,SEA,Seattle and Tacoma,Washington
Newark Liberty International Airport,EWR,Newark,New Jersey
San Francisco International Airport,SFO,San Francisco,California
Phoenix Sky Harbor International Airport,PHX,Phoenix,Arizona
George Bush Intercontinental Airport,IAH,Houston,Texas
Logan International Airport,BOS,Boston,Massachusetts
Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale and Hollywood,Florida
Minneapolis–Saint Paul International Airport,MSP,Minneapolis and Saint Paul,Minnesota
LaGuardia Airport,LGA,New York City,New York
Detroit Metropolitan Airport,DTW,Detroit,Michigan
Philadelphia International Airport,PHL,Philadelphia,Pennsylvania
Salt Lake City International Airport,SLC,Salt Lake City,Utah
Baltimore/Washington International Airport,BWI,"Baltimore and Washington, D.C.",Maryland
Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",Virginia
San Diego International Airport,SAN,San Diego,California
Dulles International Airport,IAD,"Washington, D.C.",Virginia
Tampa International Airport,TPA,Tampa,Florida
Nashville International Airport,BNA,Nashville,Tennessee
Austin–Bergstrom International Airport,AUS,Austin,Texas
Midway International Airport,MDW,Chicago,Illinois
Dubai International Airport,DXB,Dubai and Sharjah,United Arab Emirates
Istanbul Airport,IST,Istanbul,Turkey
Heathrow Airport,LHR,London,United Kingdom
Indira Gandhi International Airport,DEL,Delhi,India
Charles de Gaulle Airport,CDG,Paris,France
Amsterdam Airport Schiphol,AMS,Amsterdam,Netherlands
Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain
Tokyo Haneda Airport,HND,Tokyo,Japan
Frankfurt Airport,FRA,Frankfurt,Germany
Mexico City International Airport,MEX,Mexico City,Mexico
Josep Tarradellas Barcelona–El Prat Airport,BCN,Barcelona,Spain
Soekarno–Hatta International Airport,CGK,Jakarta,Indonesia
Chhatrapati Shivaji Maharaj International Airport,BOM,Mumbai,India
Toronto Pearson International Airport,YYZ,Toronto,Canada
